name,screen_name,female,age,term,party,government,constituency,region,country,constituency_type,electorate,turnout,majority
Andrew Stephenson,Andrew4Pendle,0,40,4,Conservative,1,Pendle,North West,England,Borough,65292,68.09410035,13.91363023
Andy Carter,MrAndy_Carter,0,121,1,Conservative,1,Warrington South,North West,England,Borough,86015,71.9630297,3.247225319
Andy McDonald,AndyMcDonaldMP,0,63,4,Labour,0,Middlesbrough,North East,England,Borough,60764,56.11381739,24.62093439
Andy Slaughter,hammersmithandy,0,61,5,Labour,0,Hammersmith,London,England,Borough,74759,69.51136318,34.34360928
Angela Crawley,,1,34,3,SNP,0,Lanark and Hamilton East,Scotland,Scotland,County,77659,68.3397932,9.773515225
Angela Eagle,angelaeagle,1,60,8,Labour,0,Wallasey,North West,England,Borough,66310,70.11310511,39.40893057
Angela Rayner,AngelaRayner,1,41,3,Labour,0,Ashton-under-Lyne,North West,England,Borough,67978,56.75218453,11.05005314
Angela Richardson,AJRichardsonMP,1,121,1,Conservative,1,Guildford,South East,England,County,77729,75.45575011,5.68958756
Angus MacNeil,AngusMacNeilSNP,0,51,5,SNP,0,Na h-Eileanan an Iar,Scotland,Scotland,County,21106,68.59186961,16.84050563
Anna McMorrin,AnnaMcMorrin,1,50,2,Labour,0,Cardiff North,Wales,Wales,Borough,68438,76.95432362,13.25712984
Anne Marie Morris,AnneMarieMorris,1,64,4,Conservative,1,Newton Abbot,South West,England,County,72529,72.46204966,33.2997184
Anne McLaughlin,AnneMcLaughlin,1,55,3,SNP,0,Glasgow North East,Scotland,Scotland,Borough,61075,55.54645927,7.510685335
Anneliese Dodds,AnnelieseDodds,1,43,2,Labour,0,Oxford East,South East,England,Borough,78303,63.03589901,36.12715006
Anne-Marie Trevelyan,annietrev,1,52,3,Conservative,1,Berwick-upon-Tweed,North East,England,County,59939,70.25309064,35.22999834
Anthony Browne,ab4scambs,0,54,1,Conservative,1,South Cambridgeshire,East,England,County,87288,76.67606086,4.338926325
Anthony Mangnall,AnthonyMangnal1,0,32,1,Conservative,1,Totnes,South West,England,County,69863,74.691897,24.38388716
Antony Higginbotham,antony_hig,0,32,1,Conservative,1,Burnley,North West,England,Borough,64345,60.58590411,3.468089473
Apsana Begum,ApsanaBegumMP,1,121,1,Labour,0,Poplar and Limehouse,London,England,Borough,91836,66.72328934,47.17018082
Bambos Charalambous,Bambos_MP,0,54,2,Labour,0,"Enfield, Southgate",London,England,Borough,65525,72.14956124,9.412809882
Barbara Keeley,KeeleyMP,1,69,5,Labour,0,Worsley and Eccles South,North West,England,County,75219,59.43578085,7.200214731
Barry Gardiner,BarryGardiner,0,64,7,Labour,0,Brent North,London,England,Borough,83788,61.91698095,15.57277511
Barry Sheerman,BarrySheerman,0,81,11,Labour,0,Huddersfield,Yorkshire and The Humber,England,Borough,65525,63.91758871,11.78788023
Bell Ribeiro-Addy,BellRibeiroAddy,1,121,1,Labour,0,Streatham,London,England,Borough,84783,66.65605133,31.30253216
Ben Bradley,BBradley_Mans,0,32,2,Conservative,1,Mansfield,East Midlands,England,County,77131,63.88222634,33.09317476
Ben Bradshaw,BenPBradshaw,0,61,7,Labour,0,Exeter,South West,England,Borough,82054,68.48173154,18.5133115
Ben Everitt,Ben_Everitt,0,121,1,Conservative,1,Milton Keynes North,South East,England,County,91545,68.31940576,10.00111923
Ben Lake,BenMLake,0,28,2,PC,0,Ceredigion,Wales,Wales,County,56386,71.12581137,15.78107468
Ben Spencer,DrBenSpencer,0,32,1,Conservative,1,Runnymede and Weybridge,South East,England,County,77196,69.0307788,34.2847492
Ben Wallace,BWallaceMP,0,51,5,Conservative,1,Wyre and Preston North,North West,England,County,74775,70.77766633,31.70773184
Bernard Jenkin,bernardjenkin,0,62,8,Conservative,1,Harwich and North Essex,East,England,County,74153,70.07538468,38.83917403
Beth Winter,BethWinterMP,1,121,1,Labour,0,Cynon Valley,Wales,Wales,County,51134,59.13091094,29.17713983
Bill Esterson,Bill_Esterson,0,55,4,Labour,0,Sefton Central,North West,England,County,69760,72.93577982,29.72091195
Bill Wiggin,,0,55,6,Conservative,1,North Herefordshire,West Midlands,England,County,70252,72.64277174,48.70573942
Bim Afolami,BimAfolami,0,35,2,Conservative,1,Hitchin and Harpenden,East,England,County,76323,77.13402251,11.71204838
Bob Blackman,BobBlackman,0,65,4,Conservative,1,Harrow East,London,England,Borough,72106,68.63645189,16.50805197
Bob Seely,IoWBobSeely,0,55,2,Conservative,1,Isle of Wight,South East,England,County,113021,65.86563559,31.88656941
Bob Stewart,,0,72,4,Conservative,1,Beckenham,London,England,Borough,68662,73.62879031,28.20294729
Boris Johnson,BorisJohnson,0,57,6,Conservative,1,Uxbridge and South Ruislip,London,England,Borough,70365,68.48148938,14.96254176
Brandon Lewis,BrandonLewis,0,50,4,Conservative,1,Great Yarmouth,East,England,County,71957,60.39996109,40.6400994
Brendan Clarke-Smith,Bren4Bassetlaw,0,41,1,Conservative,1,Bassetlaw,East Midlands,England,County,80024,63.53219034,27.56240042
Brendan O'Hara,BrendanOHaraMP,0,58,3,SNP,0,Argyll and Bute,Scotland,Scotland,County,66525,72.22848553,8.55359001
Bridget Phillipson,bphillipsonMP,1,38,4,Labour,0,Houghton and Sunderland South,North East,England,Borough,68835,57.8354035,7.824470624
Carla Lockhart,carlalockhart,1,36,1,DUP,0,Upper Bann,Northern Ireland,Northern Ireland,County,82887,60.37738125,16.40523529
Carol Monaghan,CMonaghanSNP,1,49,3,SNP,0,Glasgow North West,Scotland,Scotland,Borough,63402,62.67152456,21.03686926
Caroline Ansell,Caroline_Ansell,1,50,3,Conservative,1,Eastbourne,South East,England,Borough,79307,69.51971453,7.855406827
Caroline Dinenage,cj_dinenage,1,50,4,Conservative,1,Gosport,South East,England,Borough,73541,65.88569641,48.04243287
Caroline Johnson,drcarolinej,1,43,3,Conservative,1,Sleaford and North Hykeham,East Midlands,England,County,94761,70.23353489,48.93019202
Caroline Lucas,CarolineLucas,1,61,4,Green,0,"Brighton, Pavilion",South East,England,Borough,79057,73.36225761,34.38049588
Caroline Nokes,carolinenokes,1,49,4,Conservative,1,Romsey and Southampton North,South East,England,County,68228,75.32098259,21.1558669
Carolyn Harris,carolynharris24,1,61,3,Labour,0,Swansea East,Wales,Wales,Borough,58450,57.4491018,23.73507252
Cat Smith,CatSmithMP,1,36,3,Labour,0,Lancaster and Fleetwood,North West,England,County,70059,64.54416991,5.263274287
Catherine McKinnell,CatMcKinnell,1,45,4,Labour,0,Newcastle upon Tyne North,North East,England,Borough,68486,68.62570452,12.26621843
Catherine West,CatherineWest1,1,55,3,Labour,0,Hornsey and Wood Green,London,England,Borough,81814,74.68770626,31.4900581
Charles Walker,CharlesWalkerMP,0,54,5,Conservative,1,Broxbourne,East,England,Borough,73182,63.82170479,42.40782769
Charlotte Nichols,charlotte2153,1,121,1,Labour,0,Warrington North,North West,England,Borough,72235,64.60441614,3.233548332
Cherilyn Mackrory,thisischerilyn,1,45,1,Conservative,1,Truro and Falmouth,South West,England,County,76719,77.15168342,7.705693529
Cheryl Gillan,CherylGillan,1,69,8,Conservative,1,Chesham and Amersham,South East,England,County,72542,76.76242728,29.1335189
Chi Onwurah,ChiOnwurah,1,56,4,Labour,0,Newcastle upon Tyne Central,North East,England,Borough,57845,64.78347307,32.76404974
Chloe Smith,NorwichChloe,1,39,5,Conservative,1,Norwich North,East,England,Borough,67172,68.90519859,10.23657772
Chris Bryant,RhonddaBryant,0,59,6,Labour,0,Rhondda,Wales,Wales,County,50262,58.97497115,38.59388705
Chris Clarkson,ChrisClarksonMP,0,39,1,Conservative,1,Heywood and Middleton,North West,England,County,80162,59.24003892,1.396142183
Chris Elmore,CPJElmore,0,38,3,Labour,0,Ogmore,Wales,Wales,County,57581,61.4612459,22.05425261
Chris Evans,Chris_EvansMP,0,45,4,Labour,0,Islwyn,Wales,Wales,County,55423,61.97787922,15.90684134
Chris Grayling,,0,59,6,Conservative,1,Epsom and Ewell,South East,England,Borough,81138,73.27146343,30.06341357
Chris Green,CGreenUK,0,48,3,Conservative,1,Bolton West,North West,England,County,73191,67.35527592,17.96218914
Chris Heaton-Harris,chhcalling,0,54,4,Conservative,1,Daventry,East Midlands,England,County,77423,74.14205081,45.43316551
Chris Law,ChrisLawSNP,0,52,3,SNP,0,Dundee West,Scotland,Scotland,Borough,64431,64.53260077,29.48363357
Chris Loder,chrisloder,0,40,1,Conservative,1,West Dorset,South West,England,County,81897,74.39222438,23.15305704
Chris Philp,CPhilpOfficial,0,45,3,Conservative,1,Croydon South,London,England,Borough,83982,70.67943131,20.78742545
